                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.69102,                0.49447,                  1.083,                0.88526,                0.79522,                 0.8732,                0.67958,                0.92951,                0.57018,                 1.2956,             0.00049959,             0.00049959,             0.00049959
                     93,                0.65964,                0.48449,                 1.0787,                 0.8899,                0.81619,                0.89459,                0.67899,                0.92438,                0.60171,                 1.2787,             0.00049723,             0.00049723,             0.00049723
                     94,                0.65298,                0.46431,                 1.0696,                0.92684,                0.77383,                0.89622,                0.69203,                0.92599,                0.59164,                  1.268,             0.00049487,             0.00049487,             0.00049487
                     95,                0.66813,                0.46763,                 1.0723,                0.87223,                0.81562,                0.90068,                0.68968,                0.93948,                0.59078,                 1.2687,             0.00049252,             0.00049252,             0.00049252
                     96,                0.66252,                0.45064,                 1.0541,                0.89384,                0.82192,                0.90375,                0.69274,                0.90035,                0.56692,                 1.2484,             0.00049016,             0.00049016,             0.00049016
                     97,                0.64338,                0.45948,                 1.0427,                0.89894,                 0.8206,                0.89656,                0.68771,                0.91745,                0.57688,                 1.2526,              0.0004878,              0.0004878,              0.0004878
                     98,                0.66732,                 0.4763,                 1.0704,                0.89245,                0.83029,                0.89245,                0.68716,                0.92569,                0.60259,                 1.2748,             0.00048545,             0.00048545,             0.00048545
                     99,                0.66215,                0.46083,                 1.0484,                0.89834,                 0.7969,                0.89287,                0.68721,                 0.9208,                0.57798,                 1.2796,             0.00048309,             0.00048309,             0.00048309
                    100,                0.65679,                0.45181,                 1.0577,                  0.861,                0.80042,                0.87353,                0.67818,                0.89446,                0.61634,                 1.2568,             0.00048074,             0.00048074,             0.00048074
                    101,                0.65402,                0.44725,                 1.0612,                0.88807,                0.82128,                0.89611,                0.67757,                0.93529,                0.56059,                  1.279,             0.00047838,             0.00047838,             0.00047838
                    102,                0.64307,                0.43855,                 1.0481,                0.88756,                0.83723,                0.90537,                0.69808,                0.93369,                0.56354,                 1.2889,             0.00047602,             0.00047602,             0.00047602
                    103,                0.65088,                0.44059,                 1.0419,                0.85777,                0.84661,                0.89712,                0.69075,                0.90596,                  0.576,                 1.2752,             0.00047367,             0.00047367,             0.00047367
                    104,                 0.6261,                0.44061,                 1.0516,                0.90667,                0.78295,                0.88231,                0.68829,                0.91397,                0.58344,                 1.2657,             0.00047131,             0.00047131,             0.00047131
                    105,                0.65133,                0.44715,                  1.058,                0.87766,                0.83264,                0.91292,                0.71179,                0.88811,                0.54933,                 1.2501,             0.00046896,             0.00046896,             0.00046896
                    106,                0.61506,                0.43683,                 1.0442,                0.85007,                0.82556,                0.90305,                0.69557,                0.91916,                 0.5815,                 1.2559,              0.0004666,              0.0004666,              0.0004666
                    107,                 0.6445,                0.45469,                 1.0622,                  0.839,                 0.8476,                 0.9042,                0.69442,                0.91805,                0.56175,                 1.2624,             0.00046424,             0.00046424,             0.00046424
                    108,                0.64796,                0.44782,                  1.055,                0.86233,                0.84124,                0.89694,                0.68029,                0.93114,                0.59125,                 1.2963,             0.00046189,             0.00046189,             0.00046189
                    109,                0.63022,                0.44797,                 1.0568,                 0.8475,                0.83228,                 0.8878,                0.67877,                0.94769,                0.55765,                 1.3146,             0.00045953,             0.00045953,             0.00045953
                    110,                0.63905,                0.42247,                 1.0396,                0.83938,                0.83389,                 0.8809,                0.68576,                0.91193,                0.60761,                 1.2728,             0.00045717,             0.00045717,             0.00045717
                    111,                0.61564,                0.44474,                 1.0434,                0.86487,                0.82132,                0.88047,                0.67648,                0.92963,                0.60944,                  1.281,             0.00045482,             0.00045482,             0.00045482
                    112,                0.62674,                0.44641,                 1.0434,                0.84518,                0.84996,                0.90591,                0.68388,                0.91519,                0.55868,                 1.2497,             0.00045246,             0.00045246,             0.00045246
                    113,                 0.6168,                0.43476,                 1.0233,                 0.8302,                0.83939,                0.90729,                0.69389,                0.89633,                0.55333,                 1.2573,             0.00045011,             0.00045011,             0.00045011
                    114,                0.64457,                0.43882,                 1.0323,                0.89034,                0.81711,                0.91206,                0.69083,                0.92443,                 0.5614,                 1.2832,             0.00044775,             0.00044775,             0.00044775
                    115,                0.60138,                0.41602,                 1.0374,                0.87342,                0.81279,                 0.9055,                0.67915,                0.93843,                0.56733,                 1.2955,             0.00044539,             0.00044539,             0.00044539
                    116,                0.63411,                0.43161,                 1.0454,                0.91699,                 0.8188,                0.89961,                0.69036,                0.91104,                0.58224,                 1.2792,             0.00044304,             0.00044304,             0.00044304
